TP_FAIXA_ETARIA,SG_UF_PROVA,NU_NOTA_MT,NU_NOTA_CN,NU_NOTA_LC,NU_NOTA_CH,NU_NOTA_REDACAO,TP_SEXO
14,DF,0.0,0.0,0.0,0.0,0.0,M
12,DF,0.0,0.0,0.0,0.0,0.0,M
6,RS,363.2,502.0,475.6,498.9,700.0,F
2,CE,466.7,459.0,507.2,508.5,880.0,F
3,CE,338.3,402.5,446.9,379.2,560.0,F
6,BA,0.0,0.0,0.0,0.0,0.0,F
11,PE,0.0,0.0,0.0,0.0,0.0,F
11,MG,0.0,0.0,0.0,0.0,0.0,M
5,BA,0.0,0.0,0.0,0.0,0.0,F
11,SP,680.2,564.7,610.4,630.3,600.0,M
8,RN,736.3,644.9,626.9,620.2,860.0,M
3,PR,691.9,608.2,607.9,667.6,780.0,M
6,BA,0.0,0.0,0.0,0.0,0.0,M
3,SP,548.8,626.5,614.3,604.9,800.0,F
11,PE,404.6,547.2,593.7,623.3,560.0,F
7,RN,415.6,510.8,388.5,313.4,560.0,F
4,PA,437.0,515.7,544.4,553.1,880.0,F
11,MA,448.2,435.3,452.8,515.0,480.0,F
11,PR,719.7,571.3,613.3,574.7,560.0,M
11,MG,0.0,0.0,0.0,0.0,0.0,M
12,PE,496.0,403.4,576.0,632.2,540.0,F
4,SP,0.0,0.0,0.0,0.0,0.0,F
9,MG,816.8,707.0,628.1,667.6,820.0,F
5,MG,0.0,0.0,0.0,0.0,0.0,F
3,PR,575.3,540.5,542.8,632.5,880.0,F
8,MA,382.1,494.2,552.4,442.8,620.0,F
4,DF,398.6,424.9,512.8,529.4,540.0,F
11,PA,0.0,0.0,0.0,0.0,0.0,M
5,MG,592.4,457.9,520.3,532.4,920.0,F
13,MA,618.0,419.4,526.3,583.9,600.0,F
4,RJ,0.0,0.0,0.0,0.0,0.0,F
2,MT,644.2,576.4,568.3,633.3,680.0,M
4,MG,551.2,511.0,547.9,612.2,520.0,M
12,SE,0.0,0.0,0.0,0.0,0.0,M
9,CE,0.0,0.0,0.0,0.0,0.0,F
4,PA,731.8,592.9,676.4,624.0,880.0,F
4,ES,596.8,474.0,520.3,561.0,940.0,F
9,RJ,0.0,0.0,0.0,0.0,0.0,F
5,CE,0.0,0.0,0.0,0.0,0.0,F
4,PA,709.6,632.0,635.8,688.4,940.0,F
9,BA,0.0,0.0,0.0,0.0,0.0,M
3,SP,628.1,523.8,596.5,576.3,600.0,M
11,MG,0.0,0.0,0.0,0.0,0.0,F
5,MG,0.0,0.0,443.6,509.0,540.0,F
3,RJ,646.5,508.0,585.0,638.5,560.0,M
7,RS,0.0,0.0,0.0,0.0,0.0,M
2,RS,387.4,496.0,520.8,505.6,520.0,F
9,BA,449.6,406.1,468.5,425.1,600.0,F
3,CE,645.1,615.0,534.0,620.5,880.0,F
11,SC,634.4,501.6,624.3,607.3,720.0,M
6,AC,360.2,369.9,438.3,387.1,400.0,F
4,PE,616.4,495.6,547.9,608.3,540.0,M
11,CE,648.2,548.4,617.9,606.1,580.0,F
12,BA,0.0,0.0,0.0,0.0,0.0,M
12,MG,0.0,0.0,0.0,0.0,0.0,M
3,RJ,484.9,466.8,526.8,490.6,600.0,M
